# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0

rpg::spawners::1, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E9562C7DD012C017909404F800000000000017A09C079D46734B7A690057069746368083F43438003796177084092C2E0
rpg::spawners::2, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E9562C7DD012C017909404F800000000000017A09C079D46734B7A69005706974636808C02FBCAA037961770841150B97
rpg::spawners::3, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E9562C7DD012C017909404F800000000000017A09C079D46734B7A69005706974636808C1B5D6CA03796177084203D78E
rpg::spawners::4, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E9562C7DD012C017909404F800000000000017A09C079D46734B7A69005706974636808C0CD06C20379617708409C85FE
rpg::spawners::5, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E9562C7DD012C017909404F800000000000017A09C079D46734B7A69005706974636808BF9C35AE037961770840576A41
rpg::spawners::6, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E9562C7DD012C017909404F800000000000017A09C079D46734B7A69005706974636808BF88AEF003796177084043E383
rpg::spawners::7, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05F4A5A272214B8017909405017CB4CF28437017A09C0798F3B59C2173E0570697463680841A5F95C0379617708C30307C5
rpg::spawners::8, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05F8B1522B002C101790940505F4F04B08F1D017A09C0794BAA4BEAB3030570697463680841FDD7B003796177083F45BFE4
rpg::spawners::9, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05F8EC96F92507101790940505F4F04B08F1D017A09C0794DD12E01FA800570697463680841C825200379617708C2DDC9AF
rpg::spawners::10, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05F4013F819E46501790940508F70C1161D25017A09C0798019C018B95E0570697463680842514C52037961770843213C74
rpg::spawners::11, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C0600D30DC7C81DF017909405017CB4CF28437017A09C0792D95EEDA535C0570697463680841FB66D8037961770842015358

